TF,TFCommon,Bound Size,DE Size,Intersection,FDR Lower Bound,HypergeometricPVal,Response Rate,Relative Risk,Fold Enrichment,Jaccard Similarity,Genes
YDR207C,UME6,379,246,24,0.5626007522837184,0.044189433880857644,0.0633245382585752,0.56989784291775381,1.4371581182830298,0.03993344425956739,"['AAT2', 'BUD21', 'CAT2', 'CBF2', 'COX20', 'GIM3', 'MIR1', 'NAT4', 'OXA1', 'OYE3', 'PAM17', 'PDS5', 'RIF2', 'RIP1', 'SFL1', 'SMK1', 'SNC2', 'SNF2', 'SPO16', 'STH1', 'YLR012C', 'YNL211C', 'YPR063C', 'ZIP1']"
YDR213W,UPC2,66,541,8,0.6657710908113917,0.30667530052940067,0.12121212121212122,0.32728242301546479,1.2508822046714838,0.01335559265442404,"['BIR1', 'CTS2', 'INM2', 'MNT3', 'MOT2', 'PPH3', 'TPT1', 'VPS74']"
YDR216W,ADR1,2,5583,2,1,1,0,0,0,0,"['POP4', 'RIB5']"
YDR253C,MET32,34,634,8,0.3353036002149382,0.033044972541934711,0.23529411764705882,1.0605303994681741,2.071998515494526,0.012121212121212121,"['ADE3', 'GAL1', 'IML1', 'MET6', 'TPA1', 'VMA2', 'XDJ1', 'YGL235W']"
YDR259C,YAP6,336,96,8,0.6277091169622067,0.21937850968462222,0.023809523809523808,0.50552803322675111,1.384672619047619,0.018867924528301886,"['AGP1', 'BNS1', 'DIP5', 'GLN4', 'YAP5', 'YCL002C', 'YGL039W', 'YGL101W']"
YDR266C,HEL2,2,5583,2,1,1,0,0,0,0,"['FRQ1', 'VPS74']"
YDR277C,MTH1,1,5583,1,1,1,0,0,0,0,['GND1']
YDR310C,SUM1,30,468,5,0.39285554361454417,0.1012933549113659,0.16666666666666666,0.99922079661033769,1.9882478632478635,0.010141987829614604,"['DAL1', 'DID2', 'HXT14', 'PMT2', 'YFL040W']"
YDR421W,ARO80,2,5583,2,1,1,0,0,0,0,"['ARO9', 'SPL2']"
YDR423C,CAD1,1,5583,1,1,1,0,0,0,0,['DRE2']
