BFR2
FET4
ZRG8
DDI1
YOR029W
ATP20
PRP2
SYF1
UTH1
ATG3
ERG26
HXT8
BIR1
ATP5
UBA4
MGA1
TIR1
POL5
CNS1
MCM5
DPL1
MIR1
