,YBR033W,YDR034C,YEL009C,YIL036W,YJL056C,YJR060W,YKL038W,YLR403W,YLR451W,YMR182C,YNL199C,YOL108C,YOR344C,YPL075W,YPL248C
Q0010,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001
Q0017,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001
Q0032,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001
Q0045,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001
Q0050,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001
Q0055,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001
Q0060,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001
Q0065,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001
Q0070,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001
Q0075,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001
